16,9,10,11,11,9,6,11,13,12,16,24,26,23,22,40,27,28,23,26,25,31,26,22,22,14,27,15,28,26,33,24,16,16,6,6,13,6,10,3,3,0,6,0,6,16,10,6,0,6,6,12,6,0,0,3,0,3,15,6,10,6,0,13,10,0,10,14,20,9,14,15,9,13,12,6,3,0,9,0,0,0,0,0,0,0,3,0,3,0,12,6,0,0,3,3,3,3,0,3,0,0,9,6,6,11,9,0,0,6,3,0,6,0,6,0,0,0,12,6,12,6,0,3,3,3,0,6, 1, 1
14,3,0,6,6,0,6,11,12,13,12,18,22,34,22,35,23,12,13,6,11,20,21,21,19,18,13,18,6,19,9,15,10,12,6,6,0,3,0,0,0,0,3,3,3,6,3,0,3,0,3,0,0,6,10,0,0,6,3,3,9,0,0,3,16,14,12,18,18,20,14,13,12,9,3,0,6,11,3,9,0,0,11,0,0,0,0,9,0,0,9,6,0,0,0,0,0,0,0,13,0,0,6,0,9,0,3,6,6,6,3,0,3,3,3,0,0,0,6,0,0,0,11,0,0,3,12,12, 1, 1
18,10,10,11,11,11,11,16,16,15,18,23,30,37,36,34,36,30,25,21,25,24,19,23,26,22,25,29,26,24,14,13,9,13,9,9,12,10,10,10,10,10,6,9,14,12,13,6,6,10,13,10,11,14,9,13,16,15,10,18,3,11,3,14,13,12,13,10,11,17,6,3,0,6,0,10,11,13,0,6,15,6,0,3,0,0,10,3,0,6,11,0,9,6,6,3,0,0,10,12,6,6,10,13,6,6,9,3,11,0,13,10,14,17,11,14,6,6,6,3,3,9,0,10,3,0,13,20, 1, 1
15,9,3,0,9,0,6,0,3,12,9,10,22,26,28,26,17,17,14,0,10,9,18,13,11,15,16,12,17,15,6,6,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,6,9,0,6,6,12,10,6,19,12,12,3,6,0,0,3,0,0,6,0,0,0,6,0,0,6,3,0,3,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0,0,0,6,3,0,0,0,0,0,0,0,6,0,0,0,0,3,3,0,3,0,3,3,0,0,0, 1, 1
12,0,6,3,3,0,0,6,10,14,11,14,16,13,17,25,16,19,16,6,9,17,18,11,9,11,20,13,11,9,15,0,6,6,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,3,0,0,0,0,3,0,0,6,11,12,3,15,17,19,11,3,12,13,14,24,15,15,16,16,16,11,10,12,10,0,3,10,9,6,0,0,0,0,6,0,6,0,0,9,6,3,0,3,0,0,3,0,0,9,11,9,0,11,0,6,12,0,0,6,9,0,3,0,0,0,0,0,3,9,3, 1, 1
15,0,6,6,0,10,10,9,6,12,0,12,10,3,13,21,20,10,12,0,6,15,13,14,6,6,0,0,6,12,6,16,0,6,10,0,3,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,6,6,0,0,0,9,11,0,0,3,10,3,10,15,6,6,9,6,3,0,0,3,9,0,0,11,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,3,6,0,3,3,0,0,0,0,3,0,0,6,0,10,0,3,3,0,0,0,0,0,3,3,0,0, 0, 1
15,0,0,0,6,0,0,0,0,10,0,0,13,12,12,13,3,3,3,6,0,6,10,3,12,19,12,3,12,3,9,6,0,0,0,0,0,0,6,10,3,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,6,0,3,0,0,9,12,11,0,6,6,9,0,11,3,0,6,9,0,3,0,6,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,3,6,6,0,3,3,3,0,3,3,6, 0, 1
13,0,0,6,0,0,0,13,0,6,6,10,24,22,21,20,15,15,13,12,6,11,3,18,15,20,20,18,17,20,11,12,10,9,6,6,6,12,9,0,18,6,6,9,6,0,9,0,0,3,6,0,10,0,9,0,6,0,3,0,0,6,10,3,12,14,12,12,6,6,11,0,10,10,0,6,3,17,18,0,12,10,6,6,0,3,10,0,0,6,6,3,9,6,0,0,0,0,0,10,0,0,10,0,0,6,10,0,6,9,6,6,6,6,12,6,6,13,13,13,0,3,3,6,10,0,3,9, 1, 1
15,0,3,6,6,0,0,6,9,6,9,6,28,18,27,22,13,11,12,0,3,0,15,12,20,9,24,25,18,17,18,15,19,6,17,10,10,12,17,12,3,6,6,6,0,3,0,6,3,0,10,9,6,3,9,6,6,10,13,3,16,10,19,13,19,24,20,21,22,24,25,20,27,27,17,30,20,16,19,15,14,24,27,10,6,20,14,6,6,17,13,0,10,12,12,6,11,6,0,3,0,6,9,3,9,12,9,13,12,10,20,16,10,16,10,11,17,6,18,16,0,0,9,9,16,9,9,16, 1, 1
14,0,6,6,6,6,12,18,13,16,9,19,21,26,15,20,16,9,6,6,16,17,17,28,26,28,24,28,21,14,15,23,16,18,6,24,13,27,27,25,25,19,10,12,9,10,3,11,17,16,18,13,15,18,15,11,6,9,9,13,10,3,10,17,12,18,15,11,3,13,12,3,0,12,11,13,13,11,22,3,13,17,10,12,13,13,0,20,14,18,14,0,10,13,6,6,6,0,3,6,3,6,6,0,6,6,6,6,0,3,0,0,3,9,3,9,6,0,0,10,6,3,6,0,0,0,6,0, 1, 1
